NAME,TYPE,LOCATION
"66e66d4c-9951-4134-b15c-474792ce5d9b","Azure Workbook","South Central US"
"akv-6-qvslkiesvo7xm6a","Key vault","South Central US"
"Application Insights Smart Detection","Action group","Global"
"ASP-rgprod-b084","App Service plan","Central US"
"ASP-rgprod-beba","App Service plan","South Central US"
"asrseeddisk-INSCOLAV-PHYSICAL-8f42c11f-84f4-4e58-a467-c8441843d4b4","Disk","South Central US"
"asrseeddisk-INSCOLAV-PHYSICAL-9eb0d1ac-fbc3-4852-a2c0-3c8d6038e599","Disk","South Central US"
"asrseeddisk-INSCOLFI-PHYSICAL-0592f3d9-bc36-46f1-96d1-83e4e1b52eca","Disk","South Central US"
"asrseeddisk-INSCOLFI-PHYSICAL-509daa1e-d659-4f2f-aff9-b1c2c1ee5748","Disk","South Central US"
"asrseeddisk-INSCOLFI-PHYSICAL-6bbd4067-fa23-4e0b-afd7-606787a8929b","Disk","South Central US"
"asrseeddisk-INSCOLPV-PHYSICAL-634edc2e-5016-4bc2-83f1-03483826bc1a","Disk","South Central US"
"asrseeddisk-INSCOLPV-PHYSICAL-a267e5b2-76c8-4cb8-99ed-cd1a0fed13c1","Disk","South Central US"
"asrseeddisk-INSCOLPV-PHYSICAL-b5a11b65-33e7-4323-9813-aa8c35d27b0e","Disk","South Central US"
"asrseeddisk-INSCOLPV-PHYSICAL-d1cfdafe-0d6b-4ff0-af3d-505b73d01735","Disk","South Central US"
"asrseeddisk-INSCOLRD-PHYSICAL-2340a25d-9503-41a9-a37b-51058c405e64","Disk","South Central US"
"asrseeddisk-INSCOLRD-PHYSICAL-28daf814-c94f-4de9-88ce-ac3ef4f873d9","Disk","South Central US"
"asrseeddisk-INSCOLRD-PHYSICAL-7dbdab2a-44aa-4767-b2c6-1d33842b0e40","Disk","South Central US"
"asrseeddisk-INSCOLVI-PHYSICAL-6c951749-45c6-4d5b-96ef-f0cffc5c27ac","Disk","South Central US"
"asrseeddisk-INSCOLVS-PHYSICAL-156c4943-81c8-49a7-ab01-d8ceb9994a4a","Disk","South Central US"
"asrseeddisk-INSCOLVS-PHYSICAL-28eabece-78cf-4fd0-96d1-042d95cf7337","Disk","South Central US"
"asrseeddisk-INSCOLVS-PHYSICAL-b968df8d-cee8-47e8-a68e-de81027268ec","Disk","South Central US"
"asrseeddisk-INSDAL9D-PHYSICAL-374b2dd3-20d7-47cc-87fa-27cc106fe1da","Disk","South Central US"
"asrseeddisk-INSDAL9D-PHYSICAL-7a518e9f-fb8c-4c44-abd1-717949f67ee1","Disk","South Central US"
"asrseeddisk-INSDALFI-PHYSICAL-5502f064-6573-4ee4-a0ff-3d6fb535f9f6","Disk","South Central US"
"asrseeddisk-INSDALFI-PHYSICAL-57d67a96-58e5-440e-a5cd-b755ab0ca382","Disk","South Central US"
"asrseeddisk-INSDALSM-PHYSICAL-dd5a0319-6d28-4895-a8f8-16754995d06e","Disk","South Central US"
"asrseeddisk-INSHARPO-PHYSICAL-9695840c-b5b8-4fa8-9154-b3a53b2c4434","Disk","South Central US"
"asrseeddisk-INSHARSQ-PHYSICAL-1c778473-564d-4758-a17b-cfcac1ae9cfa","Disk","South Central US"
"asrseeddisk-INSHARSQ-PHYSICAL-6fdb4cb2-88c1-442f-ab65-e1019caabebf","Disk","South Central US"
"asrseeddisk-INSHARSQ-PHYSICAL-93515906-a421-4415-949f-f500cf978304","Disk","South Central US"
"asrseeddisk-INSNSH9D-PHYSICAL-ee87e262-5acb-4c7e-848f-34c6a930b65c","Disk","South Central US"
"asrseeddisk-INSNSHFI-PHYSICAL-7c19a567-ea6f-4dd1-9ea8-ec603a19f185","Disk","South Central US"
"asrseeddisk-INSNSHFI-PHYSICAL-c967bfc4-d176-4c5f-a9f4-b62ce2e1b47a","Disk","South Central US"
"Avontus_NIC","Network Interface","South Central US"
"AzuretoHouston","Route table","East US"
"Baton_Rouge","Connection","South Central US"
"Bossier_City","Connection","South Central US"
"BR-Industriplex","Connection","South Central US"
"CPU Usage Percentage - dev-aks","Metric alert rule","Global"
"Critical Backups","Metric alert rule","Global"
"cssa915121f46f2ae0d374e7","Storage account","South Central US"
"d211c50a-4005-4820-bc0c-d73a5b6ad8dc","Azure Workbook","South Central US"
"DC1-Static","Network Interface","South Central US"
"defaultazuremonitorworkspace-scus","Azure Monitor workspace","South Central US"
"dev-aks","Kubernetes service","South Central US"
"dev-aks-uami","Managed Identity","South Central US"
"employee-portal","Application Insights","South Central US"
"Failure Anomalies - employee-portal","Smart detector alert rule","Global"
"grafana-20250729101904","Azure Managed Grafana","South Central US"
"Harahan_Commerce","Connection","South Central US"
"Harahan_Edwards_2nd","Connection","South Central US"
"HarahanEdwards","Connection","South Central US"
"Houston-Depot-B","Connection","South Central US"
"Houston-Dept-A","Connection","South Central US"
"Houston_Sommermeyer","Connection","South Central US"
"II_NSG","Network security group","South Central US"
"iius-akv","Key vault","South Central US"
"iius-doc-intelligence","Document intelligence","South Central US"
"iius-embedding","Azure OpenAI","South Central US"
"iiusacr","Container registry","South Central US"
"INSCOLAVONTUS","Virtual machine","South Central US"
"inscolavontus","SQL virtual machine","South Central US"
"INSCOLAVONTUS-datadisk-00","Disk","South Central US"
"INSCOLAVONTUS-OSdisk-00","Disk","South Central US"
"INSCOLFIL001","Virtual machine","South Central US"
"INSCOLFIL001-datadisk-00","Disk","South Central US"
"INSCOLFIL001-datadisk-00-44319f3e-61e3-4e6c-856d-dcdbbce49213","Disk","South Central US"
"INSCOLFIL001-OSdisk-00","Disk","South Central US"
"INSCOLPVAULT","Virtual machine","South Central US"
"inscolpvault","SQL virtual machine","South Central US"
"INSCOLPVAULT-datadisk-00","Disk","South Central US"
"INSCOLPVAULT-datadisk-00-2e9424ea-0083-4a85-886e-d96273f2bbc7","Disk","South Central US"
"INSCOLPVAULT-datadisk-00-63ebc1ab-e710-4c4a-b274-1f289ea08dd3","Disk","South Central US"
"INSCOLPVAULT-OSdisk-00","Disk","South Central US"
"INSCOLRDS01","Virtual machine","South Central US"
"INSCOLRDS01-OSdisk-00","Disk","South Central US"
"INSCOLRDSWEB","Virtual machine","South Central US"
"INSCOLRDSWEB-datadisk-00","Disk","South Central US"
"INSCOLRDSWEB-OSdisk-00","Disk","South Central US"
"INSCOLVISTA","Virtual machine","South Central US"
"INSCOLVISTA-OSdisk-00","Disk","South Central US"
"INSCOLVSQL","Virtual machine","South Central US"
"inscolvsql","SQL virtual machine","South Central US"
"INSCOLVSQL-datadisk-00","Disk","South Central US"
"INSCOLVSQL-datadisk-00-243080dc-c2a2-45bb-90f3-e76707dc43ce","Disk","South Central US"
"INSCOLVSQL-OSdisk-00","Disk","South Central US"
"INSDAL9DC01","Virtual machine","South Central US"
"INSDAL9DC01-OSdisk-00","Disk","South Central US"
"INSDAL9DC02","Virtual machine","South Central US"
"INSDAL9DC02-OSdisk-00","Disk","South Central US"
"INSDALFILE01","Virtual machine","South Central US"
"INSDALFILE01-datadisk-00","Disk","South Central US"
"INSDALFILE01-OSdisk-00","Disk","South Central US"
"INSDALSMTP","Virtual machine","South Central US"
"INSDALSMTP-OSdisk-00","Disk","South Central US"
"INSHARPORTAL","Virtual machine","South Central US"
"INSHARPORTAL-OSdisk-00","Disk","South Central US"
"INSHARSQL001-datadisk-00","Disk","South Central US"
"INSHARSQL001-datadisk-00-191e0b20-585a-4c2f-aef8-99c9d9758372","Disk","South Central US"
"INSHARSQL001-datadisk-00-4f05cf85-0ba4-4471-a843-55658ab4ddf7","Disk","South Central US"
"INSHARSQL001-datadisk-00-b8a4dcf1-e439-4c50-b4af-833f73ad4fc4","Disk","South Central US"
"INSHARSQL001-OSdisk-00","Disk","South Central US"
"INSHARSQL001-OSdisk-00-aa5e4798-34f8-4f4f-bb8b-5118e3445bca","Disk","South Central US"
"INSNSH9DC01","Virtual machine","South Central US"
"INSNSH9DC01-OSdisk-00","Disk","South Central US"
"INSNSHFILE01","Virtual machine","South Central US"
"INSNSHFILE01-datadisk-00","Disk","South Central US"
"INSNSHFILE01-OSdisk-00","Disk","South Central US"
"KubernetesRecordingRulesRuleGroup-dev-aks","Prometheus rule group","South Central US"
"LNG_BatonRouge","Local network gateway","South Central US"
"LNG_BossierCity","Local network gateway","South Central US"
"LNG_BR_Industriplex","Local network gateway","South Central US"
"LNG_COLO","Local network gateway","South Central US"
"LNG_HarahanCommerce","Local network gateway","South Central US"
"LNG_HarahanEdwards","Local network gateway","South Central US"
"LNG_HarahanEdwards_2nd","Local network gateway","South Central US"
"LNG_Houston_Sommermeyer","Local network gateway","South Central US"
"LNG_HoustonDeptA","Local network gateway","South Central US"
"LNG_HoustonDeptB","Local network gateway","South Central US"
"LNG_HoustonParkway","Local network gateway","South Central US"
"LNG_MIS_Covington","Local network gateway","South Central US"
"LNG_Pasadena","Local network gateway","South Central US"
"LNG_Sulphur","Local network gateway","South Central US"
"Memory Working Set Percentage - dev-aks","Metric alert rule","Global"
"MSCI-southcentralus-dev-aks","Data collection rule","South Central US"
"MSProm-southcentralus-dev-aks","Data collection endpoint","South Central US"
"MSProm-southcentralus-dev-aks","Data collection rule","South Central US"
"nic-INSCOLFIL001-00","Network Interface","South Central US"
"nic-INSCOLPVAULT-00","Network Interface","South Central US"
"nic-INSCOLRDS01-00","Network Interface","South Central US"
"nic-INSCOLRDSWEB-00","Network Interface","South Central US"
"nic-INSCOLVISTA-00","Network Interface","South Central US"
"nic-INSCOLVISTA-00-nsg","Network security group","South Central US"
"nic-INSCOLVSQL-00","Network Interface","South Central US"
"nic-INSCOLVSQL-00-nsg","Network security group","South Central US"
"nic-INSDAL9DC02-00","Network Interface","South Central US"
"nic-INSDALFILE01-00","Network Interface","South Central US"
"nic-INSDALSMTP-00","Network Interface","South Central US"
"nic-INSHARPORTAL-00","Network Interface","South Central US"
"nic-INSNSH9DC01-00","Network Interface","South Central US"
"nic-INSNSHFILE01-00","Network Interface","South Central US"
"nmm-app-runbooks-01fd","Automation Account","South Central US"
"nmm-scripted-action","Runbook","South Central US"
"NodeAndKubernetesRecordingRulesRuleGroup-Win-dev-aks","Prometheus rule group","South Central US"
"NodeRecordingRulesRuleGroup-dev-aks","Prometheus rule group","South Central US"
"NodeRecordingRulesRuleGroup-Win-dev-aks","Prometheus rule group","South Central US"
"Pasadena","Connection","South Central US"
"pip-vnet_prod-southcentralus-default","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default2","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default3","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default4","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default5","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default6","Public IP address","South Central US"
"Portal-Public","Network Interface","South Central US"
"pptx-extract-api-ba8d","Managed Identity","Central US"
"pptx-extractor","App Service","South Central US"
"RecommendedAlertRules-AG-1","Action group","Global"
"rgprodperfdiag310","Storage account","South Central US"
"rgprodperfdiag473","Storage account","South Central US"
"rsv-prod","Recovery Services vault","South Central US"
"safetyamp-identity","Managed Identity","South Central US"
"send_alert","Action group","Global"
"southcentralus","Container registry replication","South Central US"
"Sulphur","Connection","South Central US"
"UXRecordingRulesRuleGroup - dev-aks","Prometheus rule group","South Central US"
"UXRecordingRulesRuleGroup-Win - dev-aks","Prometheus rule group","South Central US"
"vnet_prod","Virtual network gateway","South Central US"
"vnet_prod","Virtual network","South Central US"
"vnet_prod-bastion","Bastion","South Central US"
"vnet_prod-ip","Public IP address","South Central US"
"vnetgw_pub_ip1","Public IP address","South Central US"
"vnetgw_pub_ip2","Public IP address","South Central US"
"vnetgw_pub_ip3","Public IP address","South Central US"